========================================================================
LOG: verify_migration
STARTED: Tue Apr 15 16:08:17 MDT 2025
USER: patricksmith
PID: 54679
========================================================================

[2025-04-15 16:08:17] [INFO] Starting script: verify_migration
[2025-04-15 16:08:17] [INFO] Description: Migration Verification
[2025-04-15 16:08:17] [INFO] Validated directory: /Users/patricksmith/obsidian/acupcakeshop
[2025-04-15 16:08:17] [INFO] Validated directory: /Users/patricksmith/obsidian/acupcakeshop/_utilities
[2025-04-15 16:08:17] [INFO] Validated directory: /Users/patricksmith/obsidian/acupcakeshop/_utilities/scripts
[2025-04-15 16:08:17] [INFO] Starting migration verification...
[2025-04-15 16:08:17] [INFO] Checking for unmigrated content...
[2025-04-15 16:08:17] [INFO] Creating inventory of original markdown files...
[2025-04-15 16:08:17] [INFO] Found 368 original markdown files
[2025-04-15 16:08:17] [INFO] Found 363 migrated source files
[2025-04-15 16:08:17] [WARNING] Found 6 unmigrated files
[2025-04-15 16:08:17] [INFO] Checking for broken links in migrated content...
[2025-04-15 16:08:17] [INFO] Checking links in: /Users/patricksmith/obsidian/acupcakeshop/content
[2025-04-15 16:08:17] [INFO] Checking links in: /Users/patricksmith/obsidian/acupcakeshop/resources
[2025-04-15 16:08:18] [INFO] Checking links in: /Users/patricksmith/obsidian/acupcakeshop/atlas
[2025-04-15 16:08:18] [INFO] Checking links in: /Users/patricksmith/obsidian/acupcakeshop/docs
[2025-04-15 16:08:18] [WARNING] Found 208 broken links
[2025-04-15 16:08:18] [INFO] Checking frontmatter standardization...
[2025-04-15 16:08:18] [INFO] Checking frontmatter in: /Users/patricksmith/obsidian/acupcakeshop/content
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/aum-based-model.md
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/trust-framework-in-advisory-relationships.md
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/athlete-risk-factors.md
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/risk-assessment-framework.md
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/red-flags-in-advisory-relationships.md
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/career-stage-risk-variables.md
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/case-study-nfl-rookie-risk-profile.md
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/hybrid-service-model.md
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/fee-only-advisory-model.md
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/advisor-selection-checklist.md
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/misc/background-verification-methods.md
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/Athlete
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/Athlete
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/Athlete
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/research-summary.md
[2025-04-15 16:08:18] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/service-model-diagram.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/interview-insights.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/research-summary.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/athlete-wealth-partners.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/advisors/research-summary.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/advisors/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/agents/kevin-conner.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/agents/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/team-personnel/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/agent-advisor-models.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/integra-wealth.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-profiles/ubs-mainsail.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/education/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/agents/kevin-conner.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/Athlete
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/market-analysis/service-gaps.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/market-analysis/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/market-analysis/athlete-financial-needs.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/market-analysis/market-size.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/kevin-conner.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-analysis/institutional-firms/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-analysis/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-analysis/boutique-firms/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-analysis/agent-advisor-models.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/industry-analysis/service-models.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/industry-analysis/fee-structures.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/industry-analysis/service-model-comparison-matrix.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/industry-analysis/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/competitor-positioning-diagram.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/market-trends/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/research/agent-advisor-models.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/registration/requirements.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/registration/maintenance-requirements.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/registration/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/registration/application-process.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/advisory-board-research.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/advisory-board/governance-structure.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/advisory-board/candidate-research.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/advisory-board/README.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/advisory-board/board-requirements.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/registration-requirements.md
[2025-04-15 16:08:19] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/Athlete
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/Athlete
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/README.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/standards/fiduciary-requirements.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/standards/recordkeeping-requirements.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/standards/README.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/compliance/standards/disclosure-requirements.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/-.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/campbell-lamar.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/misc/financial-risk-perceptions.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/jenkins-john-raiders-defensive-tackle.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/jenkins-john-raiders.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/smith-roquan-ravens.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/README.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/johnson-jaylen-bears.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/.md
[2025-04-15 16:08:20] [WARNING] Found 1 frontmatter issues in: /Users/patricksmith/obsidian/acupcakeshop/content/interviews/players/active/2025/04_april/jenkins-john-raiders-defensive-tackle.md
